Net Profit: All,Net Profit %: All,Net Profit: Long,Net Profit %: Long,Net Profit: Short,Net Profit %: Short,Gross Profit: All,Gross Profit %: All,Gross Profit: Long,Gross Profit %: Long,Gross Profit: Short,Gross Profit %: Short,Gross Loss: All,Gross Loss %: All,Gross Loss: Long,Gross Loss %: Long,Gross Loss: Short,Gross Loss %: Short,Max Run-up,Max Run-up %,Max Drawdown,Max Drawdown %,Buy & Hold Return,Buy & Hold Return %,Sharpe Ratio,Sortino Ratio,Profit Factor: All,Profit Factor: Long,Profit Factor: Short,Max Contracts Held: All,Max Contracts Held: Long,Max Contracts Held: Short,Open PL,Open PL %,Commission Paid: All,Commission Paid: Long,Commission Paid: Short,Total Closed Trades: All,Total Closed Trades: Long,Total Closed Trades: Short,Total Open Trades: All,Total Open Trades: Long,Total Open Trades: Short,Number Winning Trades: All,Number Winning Trades: Long,Number Winning Trades: Short,Number Losing Trades: All,Number Losing Trades: Long,Number Losing Trades: Short,Percent Profitable: All,Percent Profitable: Long,Percent Profitable: Short,Avg Trade: All,Avg Trade %: All,Avg Trade: Long,Avg Trade %: Long,Avg Trade: Short,Avg Trade %: Short,Avg Winning Trade: All,Avg Winning Trade %: All,Avg Winning Trade: Long,Avg Winning Trade %: Long,Avg Winning Trade: Short,Avg Winning Trade %: Short,Avg Losing Trade: All,Avg Losing Trade %: All,Avg Losing Trade: Long,Avg Losing Trade %: Long,Avg Losing Trade: Short,Avg Losing Trade %: Short,Ratio Avg Win / Avg Loss: All,Ratio Avg Win / Avg Loss: Long,Ratio Avg Win / Avg Loss: Short,Largest Winning Trade: All,Largest Winning Trade %: All,Largest Winning Trade: Long,Largest Winning Trade %: Long,Largest Winning Trade: Short,Largest Winning Trade %: Short,Largest Losing Trade: All,Largest Losing Trade %: All,Largest Losing Trade: Long,Largest Losing Trade %: Long,Largest Losing Trade: Short,Largest Losing Trade %: Short,Avg # Bars in Trades: All,Avg # Bars in Trades: Long,Avg # Bars in Trades: Short,Avg # Bars in Winning Trades: All,Avg # Bars in Winning Trades: Long,Avg # Bars in Winning Trades: Short,Avg # Bars in Losing Trades: All,Avg # Bars in Losing Trades: Long,Avg # Bars in Losing Trades: Short,Margin Calls: All,Margin Calls: Long,Margin Calls: Short,comment,__Start Date,__Start Month,__Start Year,__End Date,__End Month,__End Year,__USE SPECIFIC DATE ?,__LOTS,__Leverage,__LONG_ONLY ?,__DEMA_length,__Pivot Point Period,__ATR Factor,__ATR Period,__Length,__Slope,__Slope Calculation Method,__Show Only Confirmed Breakouts,__SL_METHOD,__LOWEST_SL_LOOKBACK,__PREVIOUS_SL_RR,__ATR_LENGTH,__ATR_SMOOTHING,__ATR_MUL_SL,__ATR_MUL_TP,__% TP 1,__% TP 2,__% SL
3917.38,391.74,2360.59,236.06,1556.8,155.68,7492.3,749.23,3947.23,394.72,3545.06,354.51,3574.91,357.49,1586.65,158.66,1988.27,198.83,4059.77,80.55,183.04,9.99,916.9,91.69,0.636,2.538,2.096,2.488,1.783,0,0,0,9.21,0.19,341.66,162.74,178.92,927,419,508,1,1,0,345,154,191,582,265,317,37.22,36.75,37.6,4.23,1.66,5.63,2.1,3.06,1.3,21.72,7.51,25.63,8.61,18.56,6.61,6.14,1.8,5.99,1.68,6.27,1.9,3.536,4.281,2.959,255.37,63.43,255.37,63.43,133.26,32.58,60.39,7.56,23.7,3.02,60.39,7.56,38,39,36,74,76,72,16,18,15,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,2,5,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,5.3,18,2.3
3907.23,390.72,2404.56,240.46,1502.67,150.27,7297.08,729.71,3954.26,395.43,3342.83,334.28,3389.86,338.99,1549.7,154.97,1840.16,184.02,4020.17,80.09,184.14,15.44,917.1,91.71,0.594,1.685,2.153,2.552,1.817,0,0,0,9.3,0.19,333.22,160.19,173.03,979,445,534,1,1,0,358,161,197,621,284,337,36.57,36.18,36.89,3.99,1.58,5.4,2.01,2.81,1.22,20.38,7.16,24.56,8.31,16.97,6.22,5.46,1.64,5.46,1.56,5.46,1.71,3.734,4.501,3.108,341.38,84.66,341.38,84.66,133.78,32.71,60.39,7.56,23.7,3.02,60.39,7.56,36,38,35,71,75,69,16,17,15,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,3,5,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,3.3,18,2.3
3244.16,324.42,2095.06,209.51,1149.09,114.91,6827.56,682.76,3816.5,381.65,3011.06,301.11,3583.41,358.34,1721.44,172.14,1861.97,186.2,3308.72,77.28,188.27,12.66,917.26,91.73,0.549,1.554,1.905,2.217,1.617,0,0,0,9.37,0.22,295.22,146.63,148.59,725,354,371,1,1,0,280,133,147,445,221,224,38.62,37.57,39.62,4.47,1.89,5.92,2.29,3.1,1.52,24.38,8.3,28.7,9.51,20.48,7.2,8.05,2.14,7.79,2.06,8.31,2.21,3.028,3.684,2.464,296.05,72.78,296.05,72.78,176.57,44.56,60.39,7.56,23.7,3.4,60.39,7.56,47,49,44,88,95,82,20,21,20,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,10,5,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,6,18,3.3
3681.63,368.16,2051.66,205.17,1629.97,163,6902.08,690.21,3496.47,349.65,3405.62,340.56,3220.45,322.05,1444.8,144.48,1775.65,177.56,3817.44,79.56,194.93,10,917.26,91.73,0.621,2.243,2.143,2.42,1.918,0,0,0,9.36,0.2,307.89,147.34,160.54,839,378,461,1,1,0,307,130,177,532,248,284,36.59,34.39,38.39,4.39,1.71,5.43,1.98,3.54,1.49,22.48,7.75,26.9,8.9,19.24,6.9,6.05,1.78,5.83,1.65,6.25,1.89,3.714,4.617,3.077,295.7,73.33,295.7,73.33,134.58,32.91,60.39,7.56,23.7,3.02,60.39,7.56,41,42,40,82,87,79,17,18,16,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,6,5,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,2.3,18,2.3
3516.43,351.64,2084.04,208.4,1432.39,143.24,7092.99,709.3,3710.29,371.03,3382.7,338.27,3576.56,357.66,1626.25,162.62,1950.31,195.03,3650.75,78.83,195.34,9.91,916.95,91.7,0.594,1.997,1.983,2.282,1.734,0,0,0,9.23,0.2,337.52,162.51,175.01,918,421,497,1,1,0,327,142,185,591,279,312,35.62,33.73,37.22,3.83,1.52,4.95,1.84,2.88,1.25,21.69,7.49,26.13,8.72,18.28,6.54,6.05,1.78,5.83,1.67,6.25,1.88,3.584,4.483,2.925,312.62,77.53,312.62,77.53,137.09,33.52,60.39,7.56,23.7,3.02,60.39,7.56,38,39,37,76,80,74,16,18,15,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,7,4.25,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,2.3,18,2.3
3299.17,329.92,1904.45,190.44,1394.72,139.47,6768.02,676.8,3581.62,358.16,3186.4,318.64,3468.85,346.88,1677.17,167.72,1791.68,179.17,3375.09,77.49,201.62,12.27,917.41,91.74,0.532,1.318,1.951,2.136,1.778,0,0,0,29.24,0.68,315.4,156.96,158.44,846,410,436,1,0,1,288,135,153,558,275,283,34.04,32.93,35.09,3.9,1.55,4.64,1.77,3.2,1.35,23.5,8.12,26.53,8.95,20.83,7.38,6.22,1.83,6.1,1.76,6.33,1.9,3.78,4.35,3.29,254.19,63.94,254.19,63.94,133.93,32.75,60.39,7.56,23.7,3.7,60.39,7.56,40,41,38,85,91,79,17,17,16,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,8,5,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,3.3,18,2.3
3429.16,342.92,2015.63,201.56,1413.53,141.35,6903.81,690.38,3641.64,364.16,3262.17,326.22,3474.65,347.47,1626.01,162.6,1848.64,184.86,3562.31,78.42,205.52,9.81,916.75,91.68,0.599,2.028,1.987,2.24,1.765,0,0,0,9.15,0.21,324.47,159.13,165.34,859,408,451,1,1,0,304,136,168,555,272,283,35.39,33.33,37.25,3.99,1.58,4.94,1.88,3.13,1.32,22.71,7.8,26.78,9.03,19.42,6.81,6.26,1.82,5.98,1.69,6.53,1.94,3.627,4.479,2.973,245.12,60.89,245.12,60.89,178.31,45,60.39,7.56,23.7,3.02,60.39,7.56,40,41,39,82,86,78,17,19,15,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,9,4.25,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,6,18,2.3
4026.02,402.6,2494.92,249.49,1531.1,153.11,7779.25,777.92,4208.17,420.82,3571.08,357.11,3753.23,375.32,1713.25,171.32,2039.98,204,4168.53,80.96,213.28,9.82,917.61,91.76,0.652,2.724,2.073,2.456,1.751,0,0,0,9.52,0.19,349.45,168.25,181.2,924,429,495,1,1,0,337,154,183,587,275,312,36.47,35.9,36.97,4.36,1.7,5.82,2.18,3.09,1.28,23.08,7.9,27.33,9.18,19.51,6.83,6.39,1.86,6.23,1.75,6.54,1.97,3.61,4.386,2.985,255.37,63.43,255.37,63.43,133.26,32.58,60.39,7.56,23.7,3.02,60.39,7.56,37,39,36,75,78,72,16,17,14,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,2,5,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,2.3,18,2.3
4026.02,402.6,2494.92,249.49,1531.1,153.11,7779.25,777.92,4208.17,420.82,3571.08,357.11,3753.23,375.32,1713.25,171.32,2039.98,204,4168.53,80.96,213.28,9.82,916.82,91.68,0.652,2.723,2.073,2.456,1.751,0,0,0,9.18,0.18,349.45,168.25,181.2,924,429,495,1,1,0,337,154,183,587,275,312,36.47,35.9,36.97,4.36,1.7,5.82,2.18,3.09,1.28,23.08,7.9,27.33,9.18,19.51,6.83,6.39,1.86,6.23,1.75,6.54,1.97,3.61,4.386,2.985,255.37,63.43,255.37,63.43,133.26,32.58,60.39,7.56,23.7,3.02,60.39,7.56,37,39,36,75,78,72,16,17,14,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,2,5,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,2.3,18,2.3
4087.13,408.71,2554,255.4,1533.13,153.31,7706.17,770.62,4195.46,419.55,3510.71,351.07,3619.04,361.9,1641.46,164.15,1977.58,197.76,4228.35,81.18,213.31,9.84,917.46,91.75,0.663,2.697,2.129,2.556,1.775,0,0,0,9.45,0.19,339.78,162.61,177.18,900,412,488,1,1,0,331,146,185,569,266,303,36.78,35.44,37.91,4.54,1.75,6.2,2.27,3.14,1.3,23.28,7.93,28.74,9.55,18.98,6.65,6.36,1.85,6.17,1.72,6.53,1.97,3.66,4.657,2.908,341.38,84.66,341.38,84.66,133.78,32.71,60.39,7.56,23.7,3.02,60.39,7.56,38,40,36,76,81,72,16,18,15,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,3,5,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,6,18,2.3
